attributed_at_date,source_group,source,spend_usd
6/11/22,paid,facebook ads,$393.53 
6/11/22,paid,google ads,"$1,368.81 "
6/10/22,paid,facebook ads,$386.90 
6/10/22,paid,google ads,"$1,128.32 "
6/10/22,paid,bing ads,$14.32 
6/9/22,paid,google ads,"$1,277.57 "
6/9/22,paid,facebook ads,$389.54 
6/9/22,paid,bing ads,$10.98 
6/8/22,paid,bing ads,$16.97 
6/8/22,paid,facebook ads,$393.99 
6/8/22,paid,google ads,$985.42 
6/7/22,paid,bing ads,$18.43 
6/7/22,paid,google ads,"$1,053.32 "
6/7/22,paid,facebook ads,$402.19 
6/6/22,paid,bing ads,$28.77 
6/6/22,paid,facebook ads,$410.74 
6/6/22,paid,google ads,$968.90 
6/5/22,paid,facebook ads,$423.11 
6/5/22,paid,google ads,"$1,130.14 "
6/5/22,paid,bing ads,$23.71 
6/4/22,paid,bing ads,$42.62 
6/4/22,paid,google ads,"$1,165.98 "
6/4/22,paid,facebook ads,$391.29 
